Name,Account,Time,Comments,Retweets,Text
The Deals Mart,@thedealsmart,"Jan 21, 2018",,,"#OPPO F3 (Black, 64 GB)(4 GB RAM)
Price: 16,800
10% #Cashback on #CitiBank Cards, Max Rs.2000
15% #Cashback on payments through #PhonePe, Max Rs.150
#smartphone #flipkart #therepublicdaysale

http://fkrt.it/!Hb9S2NNNN"
The Deals Mart,@thedealsmart,"Jan 21, 2018",,,"#VIVO V5s Perfect #Selfie (Matte Black, 4 GB + 64 GB)  
Price: 15,990
10% #Cashback on #CitiBank Cards, Max Rs.2000
15% #Cashback on payments through #PhonePe, Max Rs.150
#smartphone #flipkart #therepublicdaysale

http://fkrt.it/!lj2B2NNNN"
Startup18,@startup_18,"Jan 9, 2018",,2,"With rival #Snapdeal out of picture, #Flipkart inks deal with #Freecharge 
@1kunalbahl
 
@_sachinbansal
 #payments #ecommerce #Entrepreneurship http://moneycontrol.com//news/business/startup/with-rival-snapdeal-out-of-picture-flipkart-inks-deal-with-freecharge-2479015.html/news/business/startup/with-rival-snapdeal-out-of-picture-flipkart-inks-deal-with-freecharge-2479015.html…"
inshortsBIZ,@inshortsBIZ,"Jan 9, 2018",,,"#Flipkart's payments arm PhonePe
today said it has partnered mobile wallet company FreeCharge
to allow the latter's customers pay for transactions at PhonePe's partner merchants."
Next Tech What,@NextTechWhat,"Jan 9, 2018",,,Digital Payments App #PhonePe Gets Out Of #Flipkart Shadow; To Offer Independent #Fintech… https://goo.gl/fb/MTY1Nm
Nitin Sethi,@nitinsethi80,"Jan 4, 2018",,,"PhonePe CEO says jump in UPI transactions simply driven by cashbacks
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/phonepe-ceo-says-jump-in-upi-transactions-simply-driven-by-cashbacks/62360714…
#PhonePe #CEO #UPI #Transactions #Cashbacks #Payments #Digital #Ecommerce #Flipkart #Platforms #Paytm #GoogleTez #WhatsApp #Customers"
FlashSaleTricks,@FlashSaleTricks,"Jan 3, 2018",,,Pay Day is here. Celebrate with Great discounts on Cashless Payments #Flipkart http://bit.ly/2DU4QHp
FlashSaleTricks,@FlashSaleTricks,"Jan 2, 2018",,,Pay Day is here. Celebrate with Great discounts on Cashless Payments #Flipkart http://bit.ly/2lCCye2
Onioncryindia,@Onioncryindia,"Jan 2, 2018",,,Pay Day is here. Celebrate with Great discounts on Cashless Payments #Flipkart http://bit.ly/2lCCye2
Lalit Gangwar,@ch30_lalit,"Nov 1, 2017",,,Payments in Progressive Web Apps are failing. Immediately re-direct all your transactions to browsers. #Flipkart #redbus #bigbasket
Gaurav Chandani,@gauravrkc2013,"Oct 31, 2017",,,"Oh no itz not a calculator, it is device to accept upi payments, seems like mistake to me lol  #PhonePe #calculator #flipkart"
TRANSFIN. Making Finance Work for You,@TFinMedia,"Oct 20, 2017",,,"#Amazon inject INR260cr into its payments unit #AmazonPay to compete with #PhonePe ( #Flipkart ), #Paytm , #GoogleTez etc."
FlashSaleTricks,@FlashSaleTricks,"Oct 17, 2017",,,Buy Bluetooth Speakers from Rs. 849 | 20% Cashback* on payments through PhonePe on #Flipkart http://bit.ly/2gjEnwJ
Ashfaaq,@Ashfaaqdew,"Oct 15, 2017",,,"@PhonePeSupport
 my payments is getting failed!tried uninstallin d app bt stil issue exists!i tried usin HDFC card!Any suggestions? #Flipkart"
FlashSaleTricks,@FlashSaleTricks,"Oct 14, 2017",,,Buy Bluetooth Speakers from Rs. 849 | 20% Cashback* on payments through PhonePe on #Flipkart http://bit.ly/2gjEnwJ
FlashSaleTricks,@FlashSaleTricks,"Oct 14, 2017",,,"Buy Intex PowerBank at ?699(MRP ?1,899) | 20% Cashback* on payments through PhonePe on #Flipkart http://bit.ly/2yJlQll"
TRANSFIN. Making Finance Work for You,@TFinMedia,"Oct 13, 2017",,,"#Flipkart will inject $500m in #PhonePe , a Bangalore based payments co based on #UPI - Flipkart had acquired the co in Apr 2016"
Rohit Niranjan #WearAMask,@RohitvNiranjan,"Oct 13, 2017",,,#Flipkart to invest $500?million in payments arm #PhonePe http://livemint.com/Companies/d416kD7FnRWJIzYHit4HcI/Flipkart-commits-500-million-investment-in-payments-arm-Pho.html…
WebShree,@webshree,"Oct 13, 2017",,,#Flipkart to invest $500 million in payments arm #PhonePe
FinancialXpress,@FinancialXpress,"Oct 12, 2017",,,"#Flipkart commits $500 million #investment in payments arm #PhonePe
http://financialexpress.com/industry/flipkart-commits-500-million-investment-in-payments-arm-phonepe/891623/…"
Dr. Fahim Siddiqui,@FAHIMUDDINSID,"Oct 7, 2017",2,2,"20% Cashback on payments through PhonePe but 20% means ?200 only. It's #Flipkart trick to fool customers. 
@Flipkart
 
@flipkartsupport"
Technology News,@webmate57,"Oct 7, 2017",,,#Flipkart invests Rs 254 Cr in digital payments arm PhonePe.
vijay pandey,@Vijapandey,"Oct 6, 2017",,,"#Flipkart 
@PhonePe_
     Hey! I'm loving going cashless with PhonePe - India's Payments App. Download it here -  https://phon.pe/ru_vija932ot"
Onioncryindia,@Onioncryindia,"Oct 6, 2017",,,Buy Set Wet Beard kit  (Set of 5) at ?179(MRP ?399) | 20% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2z3bzgO
FiMobile,@vinmaxinfotech,"Oct 5, 2017",,,#Flipkart Festive Sale: How To Avail 20% PhonePe Cashback - http://latest-mobile-news.com/flipkart-festive-sale-how-to-avail-20-phonepe-cashback… #The 20 per cent cashback offer on payments made ...
KarvyStock Community,@KarvyStock,"Oct 5, 2017",,,"#PhonePe, the digital payments arm #Flipkart, has raised over Rs 254 crore from Singapore-based Flipkart Payments."
FlashSaleTricks,@FlashSaleTricks,"Oct 5, 2017",,,"Buy Yu Yureka 2 ( 64 GB+4 GB RAM) at ?11,999(MRP ?13,999) | 20% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2fKwfBI"
Nitin Sethi,@nitinsethi80,"Oct 5, 2017",,,"Flipkart infuses $38.7 M in its payments arm PhonePe
https://medianama.com/2017/10/223-flipkart-phonepe-funding/…
#Flipkart #Infuses #Payments #PhonePe #Wallet #Digital #E-com"
EWDC,@ecommercedevlp,"Oct 5, 2017",,,"#Flipkart Pours $38.7 Mn In Digital Payments Firm #PhonePe; #AmazonPay To Receive Fresh Funds

#ecommerce #trending #digital"
FlashSaleTricks,@FlashSaleTricks,"Oct 5, 2017",,,"Buy Ipro 10400 mAh Power Bank at ?509(MRP ?2,799) | Get 20% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2xilj4G"
Rohit,@IamRohitKGupta,"Aug 16, 2017",,,"Hey! I'm loving going cashless with PhonePe - India's Payments App. Download it here -  https://phon.pe/ru_rohi5sq87
#DigitalIndia 
#Flipkart"
Satheesh ,@satheeshb4u,"Aug 14, 2017",,,Instant money transfer thru #UPI using #PhonePe  - #Flipkart 's  Payments App. Get the app from here:https://phon.pe/ru_sath202g6 #cashback
Sarfraas Sheikh,@Affiliatecb,"Aug 1, 2017",,,"Flipkart PhonePe Wallet Offer Get 10% Cashback  on payments through PhonePe* (Rakhi Offer)
https://goo.gl/JzunUF #Phonepe #Flipkart"
Saurabh Kautilya Gupta,@iAmAProductGuy,"Jul 30, 2017",,,"Sale of #Snapdeal’s
#digital #payments wing
#FreeCharge to #AxisBank
for INR385Cr can prevent
its #sale to #Flipkart"
FlashSaleTricks,@FlashSaleTricks,"Jul 21, 2017",,,[21st to 23rd] Home Shopping Days! Up to 60% Off | Get 10% off on Cashless Payments on #Flipkart http://bit.ly/2vq5nxh
Nitin Sethi,@nitinsethi80,"Jul 20, 2017",,,"Flipkart's PhonePe forays into offline space
http://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/flipkarts-phonepe-forays-into-offline-space/59675535…
#Flipkart #PhonePe #Offline #PoS #Payments #Customers #Merchants #UPI"
tabschool,@tabschoolindia,"Jun 23, 2017",,1,#Wipro #chairman #AzimPremji objects to payments in #Flipkart buying #Snapdeal deal Know more@ http://snip.ly/7w0c4 #Tabschool #Ecommerce
Amar Thakur,@amarthakur,"Jun 21, 2017",,,"Buy now on #Flipkart & pay later: 
@Flipkart
's latest offering is a feature to enable users to buy products now and make payments later"
FlashSaleTricks,@FlashSaleTricks,"Jun 20, 2017",,,Buy WD 4TB Hard Disks | At Rs 9499 | Get 20% Cashback* on Payments via PhonePe on #Flipkart   http://bit.ly/2sRvXRA
OffersXP,@OffersXP,"Jun 20, 2017",,1,#Flipkart Upto 40% OFF: Grand Appliances Sale + Extra 10% OFF on Card Payments & Net Banking http://fb.me/1c8XOi3YE
FlashSaleTricks,@FlashSaleTricks,"Jun 20, 2017",,,"Buy Mi Router 3C for Just Rs.1,199 | Get 20% Cashback on Payments via PhonePe. #Flipkart http://buff.ly/2sJ3MDY"
FlashSaleTricks,@FlashSaleTricks,"Jun 6, 2017",,,"Buy Yureka Black with 4GB RAM for Just Rs.8,999 | Get Rs.300* Cashback on payments with PhonePe. #Flipkart http://buff.ly/2rNvzmp"
BitcoinAgile,@bitcoinagile,"May 26, 2017",,,How to Buy Bitcoins in India Amazon Flipkart Accept Bitcoins Payments #Amazon #Flipkart http://flipshope.com/blog/how-to-buy-bitcoins-in-india-amazon-flipkart…
Lexplosion Solutions,@Lexplosion,"May 23, 2017",,,"#ecommerce giants like #Flipkart, #Snapdeal will have to deduct 1 per cent #TCS while making payments to suppliers.
#GSTrates"
ARITRA DEY,@aritra_2016,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
Wissen Biz Sol,@wissenbizsol,"May 19, 2017",,,"#E-commerce e.g. #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: #fb"
Ambassador of Peace ,@DR_DHIRENDRA_NS,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
Live Law,@LiveLawIndia,"May 19, 2017",,2,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
India TV,@indiatvnews,"May 19, 2017",,,"Replying to 
@indiatvnews"
All About GST,@allaboutGST,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers:"
Dishank Sharma,@dishanksharma05,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
shankey3007,@shankey3007,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
Best Tweet,@BestTweet___,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers"
Shravan Shukla ePatrakaar,@epatrakaar,"May 19, 2017",,,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
Press Trust of India,@PTI_News,"May 19, 2017",1,19,"E-commerce players like #Flipkart, #Snapdeal will have to deduct 1% TCS (tax collected at source) while making payments to suppliers: Adhia."
GST INSIGHTS,@InGSTPortal,"May 17, 2017",,,"#GST | E-commerce players like #Flipkart, #Amazon will deduct 1% from payments made to suppliers 
@BloombergQuint
 
https://goo.gl/W1DAEw"
mounika,@2Mounika,"May 13, 2017",,,"#Flipkart Big 10 Sale on Electronics upto 60% + 10% off on HDFC card payments

http://buff.ly/2qC6Pxw

#big10sale #offers #cashback #India"
Deals4India.in,@Deals4India_in,"Apr 28, 2017",,,#Budget #Phone #Fest : Get #flat Rs.300 #Cashback on #payments via #PhonePe for Rs. 4149/- (7% Off) at #Flipkart.... http://fb.me/1n1eAhLM2
Deals4India.in,@Deals4India_in,"Apr 20, 2017",,,"Get 5-10% off on #Refrigerators (Via #Card and #Netbanking #Payments) for Rs. 4500/- (10% Off) at #Flipkart.
For... http://fb.me/1UOx1bnqG"
priyaandy,@priyaandy3,"Apr 18, 2017",,,"#epriceinfo Get 25% #Wallet #Cashback on #payments with #PhonePe #Flipkart 
http://thebankinfo.com/blog/post/get-25-wallet-cashback-on-payments-with-phonepe-flipkart…"
The Bank Info,@bank_bankinfo29,"Apr 17, 2017",,,"Get 25% #Wallet #Cashback on #payments with #PhonePe #Flipkart 
http://thebankinfo.com/blog/post/get-25-wallet-cashback-on-payments-with-phonepe-flipkart…"
aradhyasri,@aradhyasri1,"Apr 17, 2017",,,"Get 25% #Wallet #Cashback on #payments with #PhonePe #Flipkart 
http://thebankinfo.com/blog/post/get-25-wallet-cashback-on-payments-with-phonepe-flipkart…"
Smart Gizmo Deals ,@SmartGizmoDeals,"Apr 17, 2017",,,"#SAMSUNG #GearFit2 Smartwatch at Rs.9990 + Cashback on payments with PhonePe
http://fkrt.it/AvaN9TuuuN

#Flipkart #Deals #Offers #OnlineDeals"
SDtricks,@DtricksS,"Apr 17, 2017",,,#Flipkart #PhonePe #Cashback Offer - Get 25% Cashback On Payments Via PhonePe #Wallet :-http://wp.me/p8drEv-v3
Sarfraas Sheikh,@Affiliatecb,"Apr 17, 2017",,1,"Flipkart All Access Sale #Offer.
Get 25% #Cashback on payments made via PhonePe App from 17th-19th April
https://goo.gl/yjazyK #Flipkart"
Mariano Sirena,@marianosirena,"Apr 17, 2017",,,Clash of the titans #India’s #eCommerce battle #Amazon #Paytm #Flipkart #Alibaba #eBay #Payments… https://twitter.com/i/web/status/853793426260856832…
Richard Cogswell,@RCogsie,"Apr 17, 2017",,,Clash of the titans #India’s #eCommerce battle #Amazon #Paytm #Flipkart #Alibaba #eBay #Payments http://crwd.fr/2pkSFj6
Patti Hewitt,@PaymentGal,"Apr 13, 2017",,,#Flipkart to invest in #payments biz with recent funding round http://zeebiz.com/small-business/news-flipkart-to-invest-in-new-businesses-like-phonepe-fintech-14810…
Nishant,@nishant014,"Feb 8, 2017",,,What a ridiculous flash sale. IRCTC offers a better window for completing payments. #RedmiNote4 #Flipkart
Vikram Prasad,@enigma_twit,"Jan 24, 2017",,,#UPI app wars begunth: #Flipkart halts UPI payments after #NPCI reverses stand in ICICI-PhonePe tussle http://ow.ly/mmjq308hRVu
Retails News,@retail_Dbt,"Jan 22, 2017",,,"PhonePe stops all UPI-based payments on #Flipkart website. Is
India not ready with UPI based pa... Read more: http://owler.us/ab7rZx"
Retails News,@retail_Dbt,"Jan 22, 2017",,,#Flipkart halts UPI payments after NPCI  reverses stand in ICICI-PhonePe tussle. Read more: http://owler.us/ab7s74
Retails News,@retail_Dbt,"Jan 22, 2017",,,#Flipkart halts UPI payments after NPCI  reverses stand in ICICI-PhonePe tussle. Read more: http://owler.us/ab7tnM
Retails News,@retail_Dbt,"Jan 21, 2017",,,PhonePe stops all UPI-based payments on #Flipkart website. Read more: http://owler.us/ab7mTZ
Retails News,@retail_Dbt,"Jan 21, 2017",,,PhonePe stops all UPI-based payments on #Flipkart website. Read more: http://owler.us/ab7mxI
Retails News,@retail_Dbt,"Jan 21, 2017",,,PhonePe stops UPI payments on #Flipkart app after NPCI rap. Read more: http://owler.us/ab7mpy
Startup Wonders,@startup_wonders,"Jan 18, 2017",,,#ICICI has reportedly blocked payments by #Flipkart ’s mobile wallet and #UPI platform PhonePe_
Inc42,@Inc42,"Jan 18, 2017",,1,"#ICICI has reportedly blocked payments by #Flipkart ’s mobile wallet and #UPI platform 
@PhonePe_"
Retails News,@retail_Dbt,"Jan 17, 2017",,,#Flipkart's UPI-Based Payments App PhonePe Comes to iOS. Read more: http://owler.us/ab5TeC
Rica BhattacharyyaET,@RicaB_ET,"Jan 16, 2017",,,"#ICICI Bank blocks payments for its customers on #Flipkart’s  wallet PhonePe, writes @PratikBhaktaET 
http://economictimes.indiatimes.com/industry/banking/finance/banking/icici-bank-blocks-payments-for-its-customers-on-flipkarts-wallet-phonepe/articleshow/56584235.cms…"
Retails News,@retail_Dbt,"Jan 13, 2017",,,#Flipkart app now supports UPI payments with PhonePe integration. Read more: http://owler.us/ab4DvB
Retails News,@retail_Dbt,"Jan 11, 2017",,,#Flipkart app now supports UPI payments with PhonPe integration. Read more: http://owler.us/ab35kx
Nitin Sethi,@nitinsethi80,"Jan 11, 2017",,,"Flipkart app now supports UPI payments with PhonPe integration 
http://medianama.com/2017/01/223-flipkart-app-now-supports-upi/…
#Flipkart #App #UPI #PhonePe #Payments #Wallet #Ecom"
Divyang Makwana,@Sam_G4m3R,"Dec 24, 2016",,,"Easy Payments, better than Paytm
#PhonePe #Flipkart
https://mobigyaan.com/?p=75122 via 
@MobiGyaan"
Divyang Makwana,@Sam_G4m3R,"Dec 24, 2016",,,"Easy Payments, better than Paytm
#PhonePe #Flipkart https://lnkd.in/fU4FY7j"
GoodReturns.IN,@GoodReturnsIN,"Dec 23, 2016",,,"Flipkart Phonepe Wallet: How To Use Phonepe UPI Based Wallet To Make Payments?
http://goodreturns.in/classroom/2016/08/flipkart-phonepe-wallet-how-use-phonepe-upi-based-wallet-make-payments-489088.html…  #Phonepe #flipkart #news #friday"
Retails News,@retail_Dbt,"Dec 16, 2016",,,"#Flipkart OnePlus 3 Sale, Digital Payments Rewards & More: 360 Daily. Read more: http://owler.us/abXMS5"
Lexplosion Solutions,@Lexplosion,"Dec 1, 2016",,,E-commerce websites like #Snapdeal & #Flipkart to impose 2% Tax Collected at Source or TCS under #GST while making payments to suppliers.
Retails News,@retail_Dbt,"Nov 20, 2016",,,#Flipkart Government should subsidise smartphones to kick off digital payments: Sachin Bansal. Read more: http://owler.us/abRA0l
Karna AV,@AvkarunaV,"Nov 16, 2016",,,"Update: 
@Flipkart
 resumes accepting CoD payments up to any amount. Read more:
 http://ln.is/Vlvry …... by #Flipkart via 
@c0nvey"
Retails News,@retail_Dbt,"Nov 16, 2016",,,#Flipkart Government should subsidise smartphones to kick off digital payments: Sachin Bansal. Read more: http://owler.us/abQFv5
Isha,@sweet_isha1,"Nov 16, 2016",,,"Update: 
@Flipkart
 resumes accepting CoD payments up to any amount. Read more:
 http://ln.is/DQW6h …... by #Flipkart via 
@c0nvey"
Amar Thakur,@amarthakur,"Nov 10, 2016",,,"#Flipkart stops accepting old ?500 & ?1000 currency notes on CoD payments : 
@Flipkart
 
http://stories.flipkart.com/500-1000-cod-payments/…"
RAJAKUMARAN.R,@RajakumaranR,"Nov 10, 2016",,,"#News: 
@Flipkart
 stops accepting old ?500 & ?1000 #currencynotes on CoD payments... http://ln.is/D3znK by #Flipkart via 
@c0nvey"
Rahul Meena,@rahulmeena3674,"Nov 9, 2016",,,"#News: 
@Flipkart
 stops accepting old ?500 & ?1000 #currencynotes on CoD payments... http://ln.is/feFiD by #Flipkart via 
@c0nvey"
Akshaya kumar dash,@AkshayaDash,"Nov 9, 2016",,,"#News: 
@Flipkart
 stops accepting old ?500 & ?1000 #currencynotes on CoD payments... http://ln.is/CBbRF by #Flipkart via 
@c0nvey"
pixr8,@pixr8,"Nov 9, 2016",,1,#Flipkart Stops Accepting Old ?500 & ?1000 Currency Notes on #CoD Payments: In view of new… https://goo.gl/fb/3FAATu
brijindia,@brijindia,"Oct 12, 2016",,,"#Flipkart-owned mobile payments start-up #PhonePe Internet Pvt. Ltd has crossed over 100,000 downloads on #Google’s mobile app store"
GoodReturns.IN,@GoodReturnsIN,"Oct 6, 2016",,,"Flipkart Phonepe Wallet: How To Use Phonepe UPI Based Wallet To Make Payments?
http://goodreturns.in/classroom/2016/08/flipkart-phonepe-wallet-how-use-phonepe-upi-based-wallet-make-payments-489088.html… 
#flipkart #Payments  
@Flipkart"
piyush Tripathi,@ptripa1,"Oct 2, 2016",,,#Flipkartbigbillion sale is flop..  Payments not working. #Flipkart #FlipkartOffers #flopshow #flop
atul sharma,@_atulsharma_,"Oct 2, 2016",,1,#Flipkart #BigBillionDaysTonight not getting payments option... Please check
atul sharma,@_atulsharma_,"Oct 2, 2016",,,#Flipkart #BigBillionDaysTonight not getting payments option.. please check
Locuz,@LocuzInc,"Sep 24, 2016",,,"#Digital #disruption has reached #APAC, with #KakaoPay and #Flipkart reinventing #mobile #payments and #shopping http://oal.lu/c8y03"
Karan,@karansayz,"Sep 15, 2016",,,"#Newly #launched #mobile #payments arm of #Flipkart 
@PhonePe_
 aims for 12 million users by #december2016"
Buy Domains India,@buydomainsindia,"Sep 14, 2016",,,"http://phonepewallet.com is for sale on 
@flippa
! https://flippa.com/6897031-phonepewallet-com… #phonepe #app #payments #UPI #flipkart #bank #wallet #SEO #startups"
Buy Domains India,@buydomainsindia,"Sep 13, 2016",,,"Replying to 
@Branduble"
atul sharma,@_atulsharma_,"Oct 2, 2016",,1,#Flipkart #BigBillionDaysTonight not getting payments option... Please check
atul sharma,@_atulsharma_,"Oct 2, 2016",,,#Flipkart #BigBillionDaysTonight not getting payments option.. please check
Locuz,@LocuzInc,"Sep 24, 2016",,,"#Digital #disruption has reached #APAC, with #KakaoPay and #Flipkart reinventing #mobile #payments and #shopping http://oal.lu/c8y03"
Karan,@karansayz,"Sep 15, 2016",,,"#Newly #launched #mobile #payments arm of #Flipkart 
@PhonePe_
 aims for 12 million users by #december2016"
Buy Domains India,@buydomainsindia,"Sep 14, 2016",,,"http://phonepewallet.com is for sale on 
@flippa
! https://flippa.com/6897031-phonepewallet-com… #phonepe #app #payments #UPI #flipkart #bank #wallet #SEO #startups"
Buy Domains India,@buydomainsindia,"Sep 13, 2016",,,"Replying to 
@Branduble"
